date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:10	2538/2538	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2215d377816984b9b63973b7ae718dbe90%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4eeb8efc10625fa0d_icon-inst.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4eeb8efc10625fa0d_icon-inst.svg	(from https://www.nequi.com.co/)
17:18:10	802/802	---M--	200	added ('OK')	image/svg+xml	etag:%223be43cb2d77853ec8c4668312aa3b801%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/635aede45ceb636ffbe6f699_icon-face.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/635aede45ceb636ffbe6f699_icon-face.svg	(from https://www.nequi.com.co/)
17:18:11	1240/1240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c52a7acbfb456e3cef961108368e2d62%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4c5b7d701cd062294_icon-ln.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4c5b7d701cd062294_icon-ln.svg	(from https://www.nequi.com.co/)
17:18:11	1343/1343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220c1dc801b58634ffa054ba98894476f9%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4c30a2342793554be_icon-youtube.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/635aede4c30a2342793554be_icon-youtube.svg	(from https://www.nequi.com.co/)
17:18:11	1227/1227	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229a1d784e94ee7168666d51081e3d1ce8%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/63adbc387013f8940976c023_TikTok_Mesa%20de%20trabajo%201.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/63adbc387013f8940976c023_TikTok_Mesa%20de%20trabajo%201.svg	(from https://www.nequi.com.co/)
17:18:11	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6317a229ebf7723658463b4b	C:/Users/Carolain/Downloads/nequi_login/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8d2b6.js	(from https://www.nequi.com.co/)
17:18:12	712952/712952	---M-Z	200	added ('OK')	text/javascript	etag:%223605bb1f29b9aedebfc25ca9fb698e3c%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/js/nequi-colombia.9f5f11a31.js	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/js/nequi-colombia.9f5f11a31.js	(from https://www.nequi.com.co/)
17:18:13	10187/10187	---MCZ	200	added ('OK')	application/javascript	etag:W/%2242d94c325a0b012e41f9c3907853625a%22	https://static.zdassets.com/ekr/snippet.js?key=4a61137a-7b8c-4def-9d9a-96fb9d10ce3f	C:/Users/Carolain/Downloads/nequi_login/static.zdassets.com/ekr/snippet617c.js	(from https://www.nequi.com.co/)
17:18:13	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:13%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.nequi.com.co/)
17:18:13	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:18:13%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.nequi.com.co/)
